Chemical Name	Chemical ID	CAS RN	Gene Symbol	Gene ID	Interaction	Interaction Actions	Reference Count	Organism Count
bisphenol A	C006780	80-05-7	CFAP77	389799	bisphenol A results in decreased methylation of CFAP77 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CFAP97	57587	bisphenol A results in decreased methylation of CFAP97 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CFAP99	402160	bisphenol A results in decreased methylation of CFAP99 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CFB	629	bisphenol A results in decreased expression of CFB mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CFD	1675	bisphenol A results in increased expression of CFD mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CFD	1675	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CFD mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CFHR4	10877	bisphenol A results in decreased expression of CFHR4 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CFI	3426	bisphenol A affects the expression of CFI mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CFL1	1072	bisphenol A affects the expression of CFL1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CFL1	1072	bisphenol A results in decreased expression of CFL1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CFL1	1072	bisphenol A results in decreased expression of CFL1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CFL1P1	142913	bisphenol A results in increased methylation of CFL1P1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CFL2	1073	[Phenolsulfonphthalein deficiency co-treated with bisphenol A deficiency] results in increased expression of CFL2 protein	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CFLAR	8837	bisphenol A affects the expression of CFLAR mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CFLAR	8837	bisphenol A results in decreased expression of CFLAR mRNA	decreases^expression	2	1
bisphenol A	C006780	80-05-7	CFP	5199	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CFP gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CFTR	1080	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CFTR gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CFTR	1080	bisphenol A results in increased methylation of CFTR gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CGA	1081	bisphenol A results in increased expression of CGA mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CGAS	115004	bisphenol A results in decreased expression of CGAS mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CGB3	1082	bisphenol A results in increased secretion of CGB3 protein	increases^secretion	1	1
bisphenol A	C006780	80-05-7	CGNL1	84952	bisphenol A results in increased expression of CGNL1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CH25H	9023	bisphenol A results in decreased expression of CH25H mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CH25H	9023	bisphenol A results in decreased methylation of CH25H gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CH25H	9023	bisphenol A results in increased expression of CH25H mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CH25H	9023	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CH25H mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAC1	79094	bisphenol A affects the expression of CHAC1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHAC1	79094	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHAC1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHAC1	79094	bisphenol A results in decreased expression of CHAC1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAC1	79094	bisphenol A results in increased expression of CHAC1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHAC2	494143	bisphenol A results in decreased expression of CHAC2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAC2	494143	bisphenol A results in increased expression of CHAC2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHAC2	494143	bisphenol A results in increased expression of CHAC2 protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHAF1A	10036	bisphenol A affects the expression of CHAF1A mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHAF1A	10036	bisphenol A results in decreased expression of CHAF1A mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAF1B	8208	bisphenol A results in decreased expression of CHAF1B mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAF1B	8208	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHAF1B mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHAT	1103	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHAT gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHAT	1103	bisphenol A results in decreased expression of CHAT protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD1	118487	bisphenol A affects the expression of CHCHD1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD1	118487	bisphenol A results in decreased expression of CHCHD1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD10	400916	bisphenol A affects the expression of CHCHD10 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD10	400916	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHCHD10 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHCHD2	51142	bisphenol A results in decreased expression of CHCHD2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD3	54927	bisphenol A results in increased methylation of CHCHD3 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHCHD6	84303	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHCHD6 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHCHD6	84303	bisphenol A results in decreased methylation of CHCHD6 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHCHD7	79145	bisphenol A results in decreased expression of CHCHD7 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHCHD7	79145	bisphenol A results in increased expression of CHCHD7 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHD1	1105	bisphenol A results in increased methylation of CHD1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD1	1105	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHD1 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHD2	1106	bisphenol A results in decreased methylation of CHD2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD2	1106	bisphenol A results in increased methylation of CHD2 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD3	1107	bisphenol A results in decreased expression of CHD3 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHD3	1107	bisphenol A results in increased expression of CHD3 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHD4	1108	bisphenol A results in increased methylation of CHD4 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD6	84181	bisphenol A results in decreased methylation of CHD6 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD7	55636	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHD7 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD7	55636	bisphenol A results in increased methylation of CHD7 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHD9	80205	[bisphenol A binds to and affects the folding of AR protein] promotes the reaction [AR protein modified form binds to CHD9 protein modified form]	affects^binding|affects^folding|increases^reaction	1	1
bisphenol A	C006780	80-05-7	CHD9	80205	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHD9 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHDH	55349	bisphenol A affects the expression of CHDH mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHDH	55349	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHDH gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHEK1	1111	[bisphenol A co-treated with cylindrospermopsin] results in decreased expression of CHEK1 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHEK1	1111	bisphenol A results in decreased expression of CHEK1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHEK1	1111	bisphenol A results in increased expression of CHEK1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHEK1	1111	bisphenol A results in increased phosphorylation of CHEK1 protein	increases^phosphorylation	1	1
bisphenol A	C006780	80-05-7	CHEK2	11200	bisphenol A results in decreased methylation of CHEK2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHEK2	11200	bisphenol A results in increased phosphorylation of CHEK2 protein	increases^phosphorylation	1	1
bisphenol A	C006780	80-05-7	CHERP	10523	bisphenol A results in decreased methylation of CHERP gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHFR	55743	bisphenol A results in decreased methylation of CHFR gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHFR	55743	bisphenol A results in increased methylation of CHFR gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHGA	1113	bisphenol A affects the expression of CHGA mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHGB	1114	bisphenol A results in decreased expression of CHGB mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHI3L1	1116	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHI3L1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHI3L1	1116	bisphenol A results in increased expression of CHI3L1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHI3L1	1116	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHI3L1 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHI3L2	1117	bisphenol A results in decreased methylation of CHI3L2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHI3L2	1117	bisphenol A results in increased expression of CHI3L2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHI3L2	1117	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHI3L2 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHIC2	26511	bisphenol A affects the expression of CHIC2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHIC2	26511	bisphenol A results in decreased expression of CHIC2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHID1	66005	[bisphenol A co-treated with Fulvestrant] affects the methylation of CHID1 gene	affects^cotreatment|affects^methylation	1	1
bisphenol A	C006780	80-05-7	CHID1	66005	bisphenol A results in decreased methylation of CHID1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHID1	66005	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CHID1 mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CHIT1	1118	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHIT1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHKA	1119	bisphenol A results in increased expression of CHKA mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHL1	10752	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHL1 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHM	1121	bisphenol A results in increased expression of CHM mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHML	1122	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHML gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHML	1122	bisphenol A results in decreased expression of CHML mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHML	1122	bisphenol A results in decreased expression of CHML protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHML	1122	bisphenol A results in decreased methylation of CHML gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHMP2B	25978	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHMP2B gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHMP2B	25978	bisphenol A results in increased methylation of CHMP2B gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHMP3	51652	bisphenol A results in increased methylation of CHMP3 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHMP4A	29082	bisphenol A affects the expression of CHMP4A mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHMP4B	128866	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHMP4B gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHMP4B	128866	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHMP4B mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHMP5	51510	bisphenol A results in increased expression of CHMP5 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHMP7	91782	bisphenol A results in decreased expression of CHMP7 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHN1	1123	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHN1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHN1	1123	bisphenol A results in decreased expression of CHN1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHN1	1123	bisphenol A results in increased methylation of CHN1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHN2	1124	bisphenol A affects the methylation of CHN2 gene	affects^methylation	1	1
bisphenol A	C006780	80-05-7	CHN2	1124	[bisphenol A co-treated with Fulvestrant] affects the methylation of CHN2 gene	affects^cotreatment|affects^methylation	1	1
bisphenol A	C006780	80-05-7	CHODL	140578	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHODL gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHODL	140578	bisphenol A results in increased methylation of CHODL gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHORDC1	26973	bisphenol A results in decreased expression of CHORDC1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHRD	8646	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CHRD mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CHRDL1	91851	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CHRDL1 mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CHRDL2	25884	bisphenol A results in decreased methylation of CHRDL2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRDL2	25884	bisphenol A results in increased expression of CHRDL2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHRM2	1129	bisphenol A results in increased expression of CHRM2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHRNA3	1136	bisphenol A inhibits the reaction [Acetylcholine affects the activity of [CHRNA3 protein binds to CHRNB4 protein]]	affects^activity|affects^binding|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNA3	1136	bisphenol A promotes the reaction [Tamoxifen inhibits the reaction [Acetylcholine affects the activity of [CHRNA3 protein binds to CHRNB4 protein]]]	affects^activity|affects^binding|decreases^reaction|increases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNA4	1137	bisphenol A inhibits the reaction [Acetylcholine affects the activity of [CHRNA4 protein binds to CHRNB2 protein]]	affects^activity|affects^binding|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNA7	1139	bisphenol A results in decreased expression of CHRNA7 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHRNB1	1140	bisphenol A results in decreased methylation of CHRNB1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRNB2	1141	bisphenol A inhibits the reaction [Acetylcholine affects the activity of [CHRNA4 protein binds to CHRNB2 protein]]	affects^activity|affects^binding|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNB3	1142	bisphenol A results in decreased methylation of CHRNB3 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRNB4	1143	bisphenol A inhibits the reaction [Acetylcholine affects the activity of [CHRNA3 protein binds to CHRNB4 protein]]	affects^activity|affects^binding|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNB4	1143	bisphenol A promotes the reaction [Tamoxifen inhibits the reaction [Acetylcholine affects the activity of [CHRNA3 protein binds to CHRNB4 protein]]]	affects^activity|affects^binding|decreases^reaction|increases^reaction	1	1
bisphenol A	C006780	80-05-7	CHRNB4	1143	bisphenol A results in decreased methylation of CHRNB4 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRND	1144	bisphenol A results in decreased methylation of CHRND gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRNE	1145	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHRNE gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHRNE	1145	bisphenol A results in decreased methylation of CHRNE gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST1	8534	bisphenol A results in decreased methylation of CHST1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST11	50515	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHST11 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST11	50515	bisphenol A results in decreased methylation of CHST11 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST13	166012	bisphenol A affects the expression of CHST13 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHST14	113189	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CHST14 mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CHST15	51363	bisphenol A affects the expression of CHST15 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CHST15	51363	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHST15 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST15	51363	bisphenol A results in decreased methylation of CHST15 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST2	9435	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHST2 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST2	9435	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CHST2 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHST6	4166	bisphenol A results in increased expression of CHST6 mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	CHST8	64377	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CHST8 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHST8	64377	bisphenol A results in increased methylation of CHST8 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHSY1	22856	bisphenol A results in decreased methylation of CHSY1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHSY1	22856	bisphenol A results in increased expression of CHSY1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CHSY3	337876	bisphenol A results in decreased expression of CHSY3 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHSY3	337876	bisphenol A results in decreased expression of CHSY3 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHSY3	337876	bisphenol A results in decreased methylation of CHSY3 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CHTF8	54921	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CHTF8 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CHTF8	54921	bisphenol A results in decreased expression of CHTF8 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CHTOP	26097	bisphenol A results in decreased expression of CHTOP mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CIAO2A	84191	bisphenol A results in increased expression of CIAO2A protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	CIAPIN1	57019	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CIAPIN1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CIART	148523	bisphenol A results in increased expression of CIART mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CIB3	117286	bisphenol A results in increased expression of CIB3 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CIBAR1-DT	642924	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CIBAR1-DT gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CIDEC	63924	bisphenol A results in increased expression of CIDEC mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	CIDECP1	152302	bisphenol A affects the expression of CIDECP1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CILP	8483	bisphenol A results in increased expression of CILP mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CILP	8483	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CILP mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CINP	51550	bisphenol A results in decreased methylation of CINP gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CIR	191577	bisphenol A results in decreased expression of CIR mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CIR	191577	bisphenol A results in increased methylation of CIR gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CIRBP	1153	bisphenol A results in decreased expression of CIRBP mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CISD1	55847	bisphenol A results in decreased expression of CISD1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CISH	1154	bisphenol A results in increased expression of CISH mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	CIT	11113	bisphenol A results in decreased methylation of CIT gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CITED1	4435	bisphenol A results in decreased expression of CITED1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CITED2	10370	bisphenol A affects the expression of CITED2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CITED2	10370	bisphenol A results in increased expression of CITED2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CIZ1	25792	bisphenol A results in increased expression of CIZ1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CKAP2	26586	bisphenol A affects the expression of CKAP2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CKAP2	26586	bisphenol A results in decreased expression of CKAP2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CKAP2L	150468	bisphenol A results in decreased expression of CKAP2L mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CKAP5	9793	bisphenol A results in decreased expression of CKAP5 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CKAP5	9793	[Phenolsulfonphthalein deficiency co-treated with bisphenol A deficiency] results in increased expression of CKAP5 protein	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CKB	1152	bisphenol A affects the expression of CKB mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CKB	1152	bisphenol A results in increased expression of CKB mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CKB	1152	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CKB mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CKLF	51192	bisphenol A affects the expression of CKLF mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	CKLF	51192	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CKLF mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CKM	1158	[[ginger extract results in increased abundance of Oils, Volatile] which co-treated with bisphenol A] affects the expression of CKM protein	affects^cotreatment|affects^expression|increases^abundance	1	1
bisphenol A	C006780	80-05-7	CKMT2	1160	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CKMT2 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CKMT2	1160	bisphenol A results in decreased methylation of CKMT2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CKMT2	1160	bisphenol A results in increased expression of CKMT2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CKMT2	1160	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CKMT2 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CKS1B	1163	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CKS1B gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	CKS1B	1163	bisphenol A results in increased expression of CKS1B mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	CKS1B	1163	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of CKS1B mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	CKS2	1164	bisphenol A results in decreased expression of CKS2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CLASP1	23332	[bisphenol A co-treated with Fulvestrant] results in increased methylation of CLASP1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	CLCA4	22802	bisphenol A results in increased methylation of CLCA4 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	CLCF1	23529	bisphenol A results in decreased expression of CLCF1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	CLCF1	23529	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of CLCF1 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	CLCN1	1180	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of CLCN1 gene	affects^cotreatment|decreases^methylation	1	1
